Transcription-Units	Promoter	Absolute-Plus-1-Position	Binds-Sigma-Factor	Genes	Gene left	Gene right	Transcription-Direction	Names
focA-pflB	focAp1	954493	RNA polymerase sigma factor RpoD	pflB // focA	951272 // 953609	953554 // 954466	-	focA-pflB // pfl
rfaYZ	waaYp	3801136	RNA polymerase sigma factor RpoD	waaZ // waaY	3799345 // 3800267	3800196 // 3800965	-	rfaYZ
stpA	stpAp1	2798536	RNA polymerase sigma factor RpoD	stpA	2798091	2798495	-	stpA
cirA	cirAp2	2246942	RNA polymerase sigma factor RpoD	cirA	2244778	2246769	-	cirA // OP00019
cbl	cblp	2060941	RNA polymerase sigma factor RpoD	cbl	2059964	2060914	-	cbl
rraB	rraBp1	4478384	RNA polymerase sigma factor RpoD	rraB	4478473	4478889	+	rraB
fimB	fimBp1	4540809	RNA polymerase sigma factor RpoD	fimB	4540957	4541559	+	fimB
yebE	yebEp	1929732	RNA polymerase sigma factor RpoD	yebE	1929048	1929707	-	yebE
glpABC	glpAp	2352583	RNA polymerase sigma factor RpoD	glpA // glpB // glpC	2352647 // 2354265 // 2355521	2354275 // 2355524 // 2356711	+	glpABC // OP00037
nirBDC-cysG	nirBp	3493987	RNA polymerase sigma factor RpoD	nirB // nirD // nirC // cysG	3494011 // 3496551 // 3497003 // 3497828	3496554 // 3496877 // 3497809 // 3499201	+	nirBDC-cysG // OP00062 // nirB // nirBDC
metA	metAp2	4214159	RNA polymerase sigma factor RpoD	metA	4214280	4215209	+	metA
relA-mazEF	relAp2	2914277	RNA polymerase sigma factor RpoD	mazF // mazE // relA	2910756 // 2911091 // 2911417	2911091 // 2911339 // 2913651	-	relA-mazEF
recA	recAp	2823819	RNA polymerase sigma factor RpoD	recA	2822708	2823769	-	recA // OP00086
fadIJ	fadIp	2460511	RNA polymerase sigma factor RpoD	fadJ // fadI	2457015 // 2459159	2459159 // 2460469	-	fadIJ
osmC	osmCp1	1556596	RNA polymerase sigma factor RpoD	osmC	1556625	1557056	+	osmC
ppiA	ppiAp3	3492430	RNA polymerase sigma factor RpoD	ppiA	3491725	3492297	-	ppiA // rot // rotA
cysJIH	cysJp	2891964	RNA polymerase sigma factor RpoD	cysH // cysI // cysJ	2887578 // 2888387 // 2890099	2888312 // 2890099 // 2891898	-	cysJIH // OP00106 // cysJHI
osmY	osmYp	4611153	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	osmY	4611396	4612001	+	osmY
purA	purAp	4404664	RNA polymerase sigma factor RpoD	purA	4404687	4405985	+	purA // OP00133
ugpBAECQ	ugpBp2	3592426	RNA polymerase sigma factor RpoD	ugpQ // ugpC // ugpE // ugpA // ugpB	3587370 // 3588110 // 3589182 // 3590024 // 3591009	3588113 // 3589180 // 3590027 // 3590911 // 3592325	-	ugpBAECQ
mgtA	mgtAp1	4467363	RNA polymerase sigma factor RpoD	mgtL // mgtA	4467431 // 4467625	4467484 // 4470321	+	mgtA
asnT	asnTp	2044541	RNA polymerase sigma factor RpoD	asnT	2044549	2044624	+	asnT
argD	argDp	3490221	RNA polymerase sigma factor RpoD	argD	3488960	3490180	-	argD // OP00151
lysP	lysPp	2248560	RNA polymerase sigma factor RpoD	lysP	2247063	2248532	-	lysP
narU	narUp1	1544124	RNA polymerase sigma factor RpoD	narU	1542672	1544060	-	narU
serU	serUp	2043562	RNA polymerase sigma factor RpoD	serU	2043468	2043557	-	serU
ebgAC	ebgAp	3222551	RNA polymerase sigma factor RpoD	ebgA // ebgC	3222633 // 3225722	3225725 // 3226171	+	ebgAC // OP00170
preTA	preTp	2233989	RNA polymerase sigma factor RpoD	preA // preT	2235265 // 2234033	2236500 // 2235271	+	preTA // yeiTA
chiA	chiAp	3469896	RNA polymerase sigma factor RpoD	chiA	3467160	3469853	-	chiA
putP	putPp1	1079168	RNA polymerase sigma factor RpoD	putP	1079305	1080813	+	putP
cynR	cynRp	358709	RNA polymerase sigma factor RpoD	cynR	357791	358690	-	cynR // OP00194
ampC	ampCp	4379003	RNA polymerase sigma factor RpoD	ampC	4377811	4378944	-	ampC
aspA	aspAp	4368432	RNA polymerase sigma factor RpoD	aspA	4366891	4368327	-	aspA // OP00219
hypF	hypFp2	2838014	RNA polymerase sigma factor RpoD	hypF	2835173	2837425	-	hypF
arcA	arcAp2	4640512	RNA polymerase sigma factor RpoD	arcA	4639590	4640306	-	arcA
dps	dpsp	848950	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	dps	848408	848911	-	dps // OP00242
phoU	phoUp	3907665	RNA polymerase sigma factor RpoD	phoU	3906853	3907578	-	phoU
glyA	glyAp	2685574	RNA polymerase sigma factor RpoD	glyA	2684254	2685507	-	glyA // OP00267
ycdT	ycdTp	1092841	RNA polymerase sigma factor RpoD	dgcT	1092876	1094234	+	ycdT
ilvIH	ilvIp3	85453	RNA polymerase sigma factor RpoD	ilvH // ilvI	87357 // 85630	87848 // 87354	+	ilvIH
nagC	nagCp2	702008	RNA polymerase sigma factor RpoD	nagC	700374	701594	-	nagC
rhaT	rhaTp	4100566	RNA polymerase sigma factor RpoD	rhaT	4099491	4100525	-	rhaT // OP00292
hslJ	hslJp	1441780	RNA polymerase sigma factor RpoD	hslJ	1441321	1441743	-	hslJ
mdoGH	opgGp2	1109257	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoE	opgH // opgG	1110863 // 1109335	1113406 // 1110870	+	mdoGH
rrsE-gltV-rrlE-rrfE	rrsEp2	4207971	RNA polymerase sigma factor RpoD	rrfE // rrlE // gltV // rrsE	4213040 // 4210043 // 4209774 // 4208147	4213159 // 4212946 // 4209849 // 4209688	+	rrsE-gltV-rrlE-rrfE
kbl-tdh	kblp	3792577	RNA polymerase sigma factor RpoD	tdh // kbl	3790320 // 3791355	3791345 // 3792551	-	kbl-tdh // OP00316 // tdh
ascFB	ascFp	2839429	RNA polymerase sigma factor RpoD	ascF // ascB	2839524 // 2840990	2840981 // 2842414	+	ascFB
proVWX	proVp1	2804563	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	proX // proW // proV	2807132 // 2806010 // 2804815	2808124 // 2807074 // 2806017	+	proVWX // proU
torR	torRp	1057984	RNA polymerase sigma factor RpoD	torR	1057262	1057954	-	torR
fliDST	fliDp2	2003817	RNA polymerase sigma factor RpoD	fliD // fliS // fliT	2003872 // 2005303 // 2005713	2005278 // 2005713 // 2006078	+	fliDST
ade	adep	3843910	RNA polymerase sigma factor RpoD	adeD	3843964	3845730	+	ade
acrD	acrDp	2587475	RNA polymerase sigma factor RpoD	acrD	2587595	2590708	+	acrD
cspE	cspEp1	657147	RNA polymerase sigma factor RpoD	cspE	657292	657501	+	cspE
ribF-ileS-lspA-fkpB-ispH	ribFp	21383	RNA polymerase sigma factor RpoD	ribF // ileS // lspA // fkpB // ispH	21407 // 22391 // 25207 // 25826 // 26277	22348 // 25207 // 25701 // 26275 // 27227	+	ribF-ileS-lspA-fkpB-ispH // ileS-lsp // ileS-lspA-lytB // ribF-ileS-lspA-slpA-lytB
artJ	artJp	900626	RNA polymerase sigma factor RpoD	artJ	899844	900575	-	artJ
yhjX	yhjXp	3712043	RNA polymerase sigma factor RpoD	yhjX	3710799	3712007	-	yhjX
nlpD-rpoS	nlpDp1	2868829	RNA polymerase sigma factor RpoD	rpoS // nlpD	2866559 // 2867614	2867551 // 2868753	-	nlpD-rpoS
dinQ	dinQp	3647982	RNA polymerase sigma factor RpoD	dinQ	3647705	3647788	-	dinQ
rcsB	rcsBp1	2315695	RNA polymerase sigma factor RpoD	rcsB	2316177	2316827	+	rcsB
zinT	zinTp	2041346	RNA polymerase sigma factor RpoD	zinT	2041375	2042025	+	zinT // yodA
rpsF-priB-rpsR-rplI	rpsFp	4425025	RNA polymerase sigma factor RpoD	rpsF // priB // rpsR // rplI	4425118 // 4425520 // 4425839 // 4426108	4425513 // 4425834 // 4426066 // 4426557	+	rpsF-priB-rpsR-rplI
umpG-pcm	surEp2	2870686	RNA polymerase sigma factor RpoD	pcm // umpG	2868893 // 2869513	2869519 // 2870274	-	umpG-pcm // surE-pcm
cobUST	cobUp2	2065972	RNA polymerase sigma factor RpoD	cobT // cobS // cobU	2063388 // 2064479 // 2065219	2064467 // 2065222 // 2065764	-	cobUST
imp	impp2	57241	RNA polymerase sigma factor RpoD	lptD	54755	57109	-	imp
murQP	murQp2	2545741	RNA polymerase sigma factor RpoD	murP // murQ	2546673 // 2545773	2548097 // 2546669	+	murQP
ssrS-ygfA	ssrSp1	3055974	RNA polymerase sigma factor RpoD	fau // ssrS	3056241 // 3055983	3056789 // 3056165	+	ssrS-ygfA
aceBAK	aceBp	4215402	RNA polymerase sigma factor RpoD	aceB // aceA // aceK	4215478 // 4217109 // 4218596	4217079 // 4218413 // 4220332	+	aceBAK // OP00001 // ace
yeaR-yoaG	yeaRp	1879994	RNA polymerase sigma factor RpoD	yeaR // yoaG	1879589 // 1879403	1879948 // 1879585	-	yeaR-yoaG
alsRBACE	alsRp2	4313137	RNA polymerase sigma factor RpoD	alsE // alsC // alsA // alsB // alsR	4307783 // 4308489 // 4309448 // 4311107 // 4312101	4308478 // 4309469 // 4310980 // 4312042 // 4312991	-	alsRBACE
deoCABD	deoCp1	4616679	RNA polymerase sigma factor RpoD	deoC // deoA // deoB // deoD	4617323 // 4618229 // 4619603 // 4620883	4618102 // 4619551 // 4620826 // 4621602	+	deoCABD // OP00024
ilvY	ilvYp1	3957867	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	ilvY	3956927	3957820	-	ilvY // OP00041
rnlB	rnlBp2	2766860	RNA polymerase sigma factor RpoD	rnlB	2766984	2767355	+	rnlB // yfjO
ompC	ompCp1	2312830	RNA polymerase sigma factor RpoD	ompC	2311646	2312749	-	ompC // OP00065
uidR	uidRp	1697075	RNA polymerase sigma factor RpoD	uidR	1696462	1697052	-	uidR
tsx	tsxp2	432091	RNA polymerase sigma factor RpoD	tsx	431129	432013	-	tsx
ssb	ssbp3	4274011	RNA polymerase sigma factor RpoD	ssb	4274125	4274661	+	ssb // OP00091
ychF	ychFp	1257882	RNA polymerase sigma factor RpoD	ychF	1256721	1257812	-	ychF
dcuB-fumB	dcuBp1	4348764	RNA polymerase sigma factor RpoD	fumB // dcuB	4345680 // 4347404	4347326 // 4348744	-	dcuB-fumB
ilvIH	ilvIHp1	85600	RNA polymerase sigma factor RpoD	ilvI // ilvH	85630 // 87357	87354 // 87848	+	ilvIH // OP00110
psiE	psiEp	4240300	RNA polymerase sigma factor RpoD	psiE	4240325	4240735	+	psiE
appCBA-yccB	appCp	1037710	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	appX // appC // appB // appA	1040445 // 1037740 // 1039296 // 1040617	1040537 // 1039284 // 1040432 // 1041915	+	appCBA-yccB // OP00137 // cyx-appA // cyxAB-appA // appCBA
aspA-dcuA	aspAp	4368432	RNA polymerase sigma factor RpoD	dcuA // aspA	4365472 // 4366891	4366773 // 4368327	-	aspA-dcuA // OP00219
treR	treRp4	4467347	RNA polymerase sigma factor RpoD	treR	4466299	4467246	-	treR
argW	argWp	2466308	RNA polymerase sigma factor RpoD	argW	2466309	2466383	+	argW
ldtC	ldtCp	1170417	RNA polymerase sigma factor RpoD	ldtC	1169412	1170374	-	ldtC
astCADBE	astCp1	1832013	RNA polymerase sigma factor RpoD	astE // astB // astD // astA // astC	1825955 // 1826916 // 1828256 // 1829731 // 1830762	1826923 // 1828259 // 1829734 // 1830765 // 1831982	-	astCADBE
glyU	glyUp	2999064	RNA polymerase sigma factor RpoD	glyU	2998984	2999057	-	glyU
uhpTU	uhpTp	3847198	RNA polymerase sigma factor RpoD	uhpU // uhpT	3845730 // 3845776	3845995 // 3847167	-	uhpTU // OP00173
cydAB	cydAp3	771202	RNA polymerase sigma factor RpoD	cydB // cydA	773042 // 771458	774181 // 773026	+	cydAB
putP	putPp4	1079210	RNA polymerase sigma factor RpoD	putP	1079305	1080813	+	putP
nupC	nupCp	2513009	RNA polymerase sigma factor RpoD	nupC	2513042	2514244	+	nupC // OP00198
lysC	lysCp1	4233539	RNA polymerase sigma factor RpoD	lysC	4231884	4233233	-	lysC
smtA-mukFEB	cmoMp	973404	RNA polymerase sigma factor RpoD	mukB // mukE // mukF // cmoM	976326 // 975622 // 974319 // 973537	980786 // 976326 // 975641 // 974322	+	smtA-mukFEB
fepA-entD	fepAp	612667	RNA polymerase sigma factor RpoD	entD // fepA	609459 // 610254	610079 // 612494	-	fepA-entD // OP00224 // fepA
arcA	arcAp6	4640688	RNA polymerase sigma factor RpoD	arcA	4639590	4640306	-	arcA
leuLABCD	leuLp1	83735	RNA polymerase sigma factor RpoD	leuD // leuC // leuB // leuA // leuL	78848 // 79464 // 80867 // 81958 // 83622	79453 // 80864 // 81958 // 83529 // 83708	-	leuLABCD // OP00249 // leu // leuABCD
pnp	pnpp	3311326	RNA polymerase sigma factor RpoD	pnp	3309033	3311168	-	pnp
ssrS	ssrSp1	3055974	RNA polymerase sigma factor RpoD	ssrS	3055983	3056165	+	ssrS
pncB	pncBp	990414	RNA polymerase sigma factor RpoD	pncB	989154	990356	-	pncB // OP00273
acs-yjcHG	acsp2	4287391	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	actP // yjcH // acs	4283253 // 4284899 // 4285413	4284902 // 4285213 // 4287371	-	acs-yjcHG
soxS	soxSp	4277423	RNA polymerase sigma factor RpoD	soxS	4277060	4277383	-	soxS // OP00296
gntKU	gntKp	3577645	RNA polymerase sigma factor RpoD	gntU // gntK	3575721 // 3577065	3577061 // 3577592	-	gntKU // OP00323
yffB-dapE-ypfN	yffBp		RNA polymerase sigma factor RpoD	ypfN // dapE // yffB	2592762 // 2591607 // 2591247	2592962 // 2592734 // 2591603	+	yffB-dapE-ypfN
mntH	mntHp	2512734	RNA polymerase sigma factor RpoD	mntH	2511468	2512706	-	mntH
ydeNM	ydeNp	1582554	RNA polymerase sigma factor RpoD	ydeM // ydeN	1579633 // 1580842	1580790 // 1582524	-	ydeNM
dcuA	dcuAp1	4366843	RNA polymerase sigma factor RpoD	dcuA	4365472	4366773	-	dcuA
tatABC	tatAp1	4021909	RNA polymerase sigma factor RpoD	tatD // tatC // tatB // tatA	4023554 // 4022736 // 4022218 // 4021945	4024336 // 4023512 // 4022733 // 4022214	+	tatABC
allDC-ylbA	allDp	546411	RNA polymerase sigma factor RpoD	allE // allC // allD	543261 // 544057 // 545314	544046 // 545292 // 546363	-	allDC-ylbA
acnB	acnBp1	131519	RNA polymerase sigma factor RpoD	acnB	131615	134212	+	acnB
rlmE-ftsH	rlmEp1	3327760	RNA polymerase sigma factor RpoD	ftsH // rlmE	3325001 // 3327035	3326935 // 3327664	-	rlmE-ftsH // rrmJ-hflB
pgk-fbaA	pgkp1	3072857	RNA polymerase sigma factor RpoD	fbaA // pgk	3070165 // 3071459	3071244 // 3072622	-	pgk-fbaA
patZ	pkap	2719931	RNA polymerase sigma factor RpoD	patZ	2719953	2722613	+	patZ // pka
damX-dam-rpe-gph-trpS	damXp	3517600	RNA polymerase sigma factor RpoD	trpS // gph // rpe // dam // damX	3512634 // 3513631 // 3514382 // 3515077 // 3516020	3513638 // 3514389 // 3515059 // 3515913 // 3517306	-	damX-dam-rpe-gph-trpS
dksA-gluQ	dksAp3	160751	RNA polymerase sigma factor RpoD	gluQ // dksA	159186 // 160149	160112 // 160604	-	dksA-gluQ
rpsMKD-rpoA-rplQ	rpsMp2	3442565	RNA polymerase sigma factor RpoD	rplQ // rpoA // rpsD // rpsK // rpsM	3439616 // 3440040 // 3441055 // 3441709 // 3442115	3439999 // 3441029 // 3441675 // 3442098 // 3442471	-	rpsMKD-rpoA-rplQ
araE-ygeA	araEp	2982208	RNA polymerase sigma factor RpoD	ygeA // araE	2979943 // 2980764	2980635 // 2982182	-	araE-ygeA
argO	argOp	3068836	RNA polymerase sigma factor RpoD	argO	3068173	3068808	-	argO
argCBH	argCp	4154885	RNA polymerase sigma factor RpoD	argC // argB // argH	4155001 // 4156013 // 4156850	4156005 // 4156789 // 4158223	+	argCBH // OP00005
fhuACDB	fhuAp	167442	RNA polymerase sigma factor RpoD	fhuA // fhuC // fhuD // fhuB	167484 // 169778 // 170575 // 171462	169727 // 170575 // 171465 // 173444	+	fhuACDB // OP00027 // fhuA
lacZYA	lacZp1	366343	RNA polymerase sigma factor RpoD	lacA // lacY // lacZ	361249 // 361926 // 363231	361860 // 363179 // 366305	-	lacZYA // OP00045 // lacAYZ
bolA	bolAp2	454349	RNA polymerase sigma factor RpoD	bolA	454472	454789	+	bolA
rpoD	rpoDp1	3212473	RNA polymerase sigma factor RpoD	rpoD	3213047	3214888	+	rpoD
higBA	higBp	3234480	RNA polymerase sigma factor RpoD	higB // higA	3234141 // 3233728	3234455 // 3234144	-	higBA
phoA-psiF	phoAp	401707	RNA polymerase sigma factor RpoD	phoA // psiF	401747 // 403281	403162 // 403601	+	phoA-psiF // OP00071 // phoA
ulaABCDEF	ulaAp	4419927	RNA polymerase sigma factor RpoD	ulaF // ulaE // ulaD // ulaC // ulaB // ulaA	4423700 // 4422846 // 4422186 // 4421708 // 4421393 // 4419980	4424386 // 4423700 // 4422836 // 4422172 // 4421698 // 4421377	+	ulaABCDEF
tyrR	tyrRp	1386692	RNA polymerase sigma factor RpoD	tyrR	1386720	1388261	+	tyrR // OP00096
spy	spyp	1825688	RNA polymerase sigma factor RpoD	spy	1825140	1825625	-	spy
argG	argGp	3318562	RNA polymerase sigma factor RpoD	argG	3318637	3319980	+	argG
pspF	pspFp2	1367929	RNA polymerase sigma factor RpoD	pspF	1366935	1367912	-	pspF
rpoH	rpoHp4	3600863	RNA polymerase sigma factor RpoD	rpoH	3599929	3600783	-	rpoH // OP00113
yefM-yoeB	yefMp	2089733	RNA polymerase sigma factor RpoD	yefM // yoeB	2089462 // 2089211	2089713 // 2089465	-	yefM-yoeB
mfd	mfdp1	1174028	RNA polymerase sigma factor RpoD	mfd	1170518	1173964	-	mfd
rpoN-hpf-ptsN-yhbJ-npr	rpoNp	3344662	RNA polymerase sigma factor RpoD	rpoN // hpf // ptsN // rapZ // npr	3344717 // 3346173 // 3346578 // 3347115 // 3347966	3346150 // 3346460 // 3347069 // 3347969 // 3348238	+	rpoN-hpf-ptsN-yhbJ-npr // rpoN-ORFII-ORF-III-ORF-IV-ORFV // rpoN-yhbH-ptsN-yhbJ-ptsO // rpoN-yhbH-ptsN-yhbJ-npr
cydAB	cydAp1	771170	RNA polymerase sigma factor RpoD	cydA // cydB	771458 // 773042	773026 // 774181	+	cydAB // OP00140
gcvB	gcvBp	2942696	RNA polymerase sigma factor RpoD	gcvB	2942696	2942901	+	gcvB
topA	topAp2	1330883	RNA polymerase sigma factor RpoD	topA	1331048	1333645	+	topA
argX-hisR-leuT-proM	argXp	3982364	RNA polymerase sigma factor RpoD	argX // hisR // leuT // proM	3982375 // 3982509 // 3982606 // 3982735	3982451 // 3982585 // 3982692 // 3982811	+	argX-hisR-leuT-proM // argX
bioBFCD	bioBp	809302	RNA polymerase sigma factor RpoD	bioB // bioF // bioC // bioD	809344 // 810381 // 811522 // 812270	810384 // 811535 // 812277 // 812947	+	bioBFCD // OP00157
mlrA	mlrAp	2214840	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	mlrA	2214866	2215597	+	mlrA
pyrH	pyrHp	191812	RNA polymerase sigma factor RpoD	pyrH	191855	192580	+	pyrH
amiA-hemF	amiAp	2552241	RNA polymerase sigma factor RpoD	hemF // amiA	2553225 // 2552352	2554124 // 2553221	+	amiA-hemF
proK	proKp	3708694	RNA polymerase sigma factor RpoD	proK	3708616	3708692	-	proK
srlAEBD-gutM-srlR-gutQ	srlAp	2825791	RNA polymerase sigma factor RpoD	srlA // srlE // srlB // srlD // gutM // srlR // gutQ	2825832 // 2826392 // 2827362 // 2827737 // 2828621 // 2829047 // 2829813	2826395 // 2827351 // 2827733 // 2828516 // 2828980 // 2829820 // 2830778	+	srlAEBD-gutM-srlR-gutQ // OP00177 // gutABDMR // srlABDMR
bluR	bluRp	1214113	RNA polymerase sigma factor RpoD	bluR	1213328	1214059	-	bluR
hemN	hemNp	4051943	RNA polymerase sigma factor RpoD	hemN	4052045	4053418	+	hemN
fldB	fldBp	3039822	RNA polymerase sigma factor RpoD	fldB	3039855	3040376	+	fldB
fixABCX	fixAp	42325	RNA polymerase sigma factor RpoD	fixX // fixC // fixB // fixA	45463 // 44180 // 43188 // 42403	45750 // 45466 // 44129 // 43173	+	fixABCX
entCEBA-ybdB	entCp	624831	RNA polymerase sigma factor RpoD	entC // entE // entB // entA // entH	624885 // 626070 // 627694 // 628551 // 629300	626060 // 627680 // 628551 // 629297 // 629713	+	entCEBA-ybdB // OP00227
putA	putAp	1078925	RNA polymerase sigma factor RpoD	putA	1074920	1078882	-	putA
gltBDF	gltBp	3354509	RNA polymerase sigma factor RpoD	gltB // gltD // gltF	3354725 // 3359198 // 3361176	3359185 // 3360616 // 3361940	+	gltBDF // OP00253 // gltD
mhpR-lacI	mhpRp1	368536	RNA polymerase sigma factor RpoD	lacI // mhpR	366428 // 367587	367510 // 368420	-	mhpR-lacI
ftsK	ftsKp1	933138	RNA polymerase sigma factor RpoD	ftsK	933224	937213	+	ftsK
araBAD	araBp	70075	RNA polymerase sigma factor RpoD	araD // araA // araB	65855 // 66835 // 68348	66550 // 68337 // 70048	-	araBAD // OP00302 // ara
rirA-rfaQGPSBIJYZ-waaU	rirAp	3808238	RNA polymerase sigma factor RpoD	rirA // waaU // waaZ // waaY // waaJ // waaO // waaB // waaS // waaP // waaG // waaQ	3808166 // 3798239 // 3799345 // 3800267 // 3800983 // 3802039 // 3803058 // 3804181 // 3805153 // 3805943 // 3807064	3808238 // 3799312 // 3800196 // 3800965 // 3801999 // 3803058 // 3804137 // 3805116 // 3805950 // 3807067 // 3808098	-	rirA-rfaQGPSBIJYZ-waaU // rfaQGPSBIJYZK // rfaQGPSBIJYZ-waaU
rpsA-ihfB	rpsAp1	961717	RNA polymerase sigma factor RpoD	ihfB // rpsA	963828 // 961995	964112 // 963668	+	rpsA-ihfB // rpsA-himD
rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM	rfep	3967800	RNA polymerase sigma factor RpoD	rffM // wzyE // wecF // wzxE // wecE // rffC // rffH // rffG // wecC // wecB // wzzE // rfe	3979956 // 3978601 // 3977525 // 3976278 // 3975146 // 3974467 // 3973608 // 3972522 // 3971260 // 3970133 // 3969031 // 3967916	3980696 // 3979953 // 3978604 // 3977528 // 3976276 // 3975141 // 3974489 // 3973589 // 3972522 // 3971263 // 3970077 // 3969019	+	rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM
accBC	accBp1	3405140	RNA polymerase sigma factor RpoD	accB // accC	3405436 // 3405917	3405906 // 3407266	+	accBC
caiTABCDE	caiTp	42037	RNA polymerase sigma factor RpoD	caiE // caiD // caiC // caiB // caiA // caiT	34781 // 35377 // 36271 // 37898 // 39244 // 40417	35371 // 36162 // 37824 // 39115 // 40386 // 41931	-	caiTABCDE
fhuF	fhuFp1	4605694	RNA polymerase sigma factor RpoD	fhuF	4604875	4605663	-	fhuF
cedA	cedAp	1813742	RNA polymerase sigma factor RpoD	cedA	1813421	1813663	-	cedA
yadV-htrE	yadVp1	156235	RNA polymerase sigma factor RpoD	htrE // yadV	152829 // 155461	155426 // 156201	-	yadV-htrE // ecpD // htrE
csrA	csrAp2	2819370	RNA polymerase sigma factor RpoD	csrA	2818961	2819146	-	csrA
yjeFE-amiB-mutL-miaA-hfq-hflXKC	yjeFp3	4394035	RNA polymerase sigma factor RpoD	hflC // hflK // hflX // hfq // miaA // mutL // amiB // tsaE // nnr	4403300 // 4402038 // 4400672 // 4400288 // 4399252 // 4397412 // 4396065 // 4395585 // 4394066	4404304 // 4403297 // 4401952 // 4400596 // 4400202 // 4399259 // 4397402 // 4396046 // 4395613	+	yjeFE-amiB-mutL-miaA-hfq-hflXKC // ORF55-ORF17-amiB-mutL-miaA-hfq-hflXKC
glmUS	glmUp1	3915223	RNA polymerase sigma factor RpoD	glmS // glmU	3911839 // 3913830	3913668 // 3915200	-	glmUS
bluF	bluFp	1215506	RNA polymerase sigma factor RpoD	bluF	1214264	1215475	-	bluF
pcnB-folK	pcnBp3	159171	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	folK // pcnB	157253 // 157729	157732 // 159126	-	pcnB-folK
frr	frrp	192814	RNA polymerase sigma factor RpoD	frr	192872	193429	+	frr
feaR	feaRp3	1447394	RNA polymerase sigma factor RpoD	feaR	1446378	1447283	-	feaR
ybdN	ybdNp	636686	RNA polymerase sigma factor RpoD	ybdN	635349	636569	-	ybdN
pstSCA	pstSp	3911568	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	pstA // pstC // pstS	3908549 // 3909439 // 3910485	3909439 // 3910398 // 3911525	-	pstSCA
ubiCA	ubiCp	4252443	RNA polymerase sigma factor RpoD	ubiC // ubiA	4252506 // 4253016	4253003 // 4253888	+	ubiCA
pepD	pepDp3	255737	RNA polymerase sigma factor RpoD	pepD	254259	255716	-	pepD
gadEF	gadEp3	3657800	RNA polymerase sigma factor RpoD	gadF // gadE	3658992 // 3658366	3659082 // 3658893	+	gadEF
argR	argRp1	3384677	RNA polymerase sigma factor RpoD	argR	3384703	3385173	+	argR // OP00009 // argR_carAB
yrbN-deaD	yrbNp1	3308086	RNA polymerase sigma factor RpoD	deaD // yrbN	3305971 // 3307853	3307860 // 3307933	-	yrbN-deaD
frdABCD	frdAp	4382412	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	frdD // frdC // frdB // frdA	4379007 // 4379377 // 4379783 // 4380510	4379366 // 4379772 // 4380517 // 4382318	-	frdABCD // OP00030 // frd
mqsRA	mqsRp2	3168562	RNA polymerase sigma factor RpoD	mqsA // mqsR	3167851 // 3168248	3168246 // 3168544	-	mqsRA
greA	greAp1	3328864	RNA polymerase sigma factor RpoD	greA	3328239	3328715	-	greA
hscBA-fdx-iscX	hscBp	2659524	RNA polymerase sigma factor RpoD	iscX // fdx // hscA // hscB	2656536 // 2656748 // 2657085 // 2658952	2656736 // 2657083 // 2658935 // 2659467	-	hscBA-fdx-iscX
malPQ	malPp	3552510	RNA polymerase sigma factor RpoD	malQ // malP	3547986 // 3550080	3550070 // 3552473	-	malPQ // OP00049
gntXY	gntXp	3544667	RNA polymerase sigma factor RpoD	nfuA // yhgH	3545624 // 3544882	3546199 // 3545565	+	gntXY
gpmA	gpmAp2	787670	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	gpmA	786843	787595	-	gpmA
aroH	aroHp2	1788384	RNA polymerase sigma factor RpoD	aroH	1788435	1789481	+	aroH
upp-uraA	uppp	2620909	RNA polymerase sigma factor RpoD	uraA // upp	2618871 // 2620246	2620160 // 2620872	-	upp-uraA
purC	purCp	2597781	RNA polymerase sigma factor RpoD	purC	2596905	2597618	-	purC // OP00076
lolA-rarA	lolAp	937328	RNA polymerase sigma factor RpoD	rarA // lolA	937994 // 937372	939337 // 937983	+	lolA-rarA
nanATEK-yhcH	nanAp	3373620	RNA polymerase sigma factor RpoD	nanQ // nanK // nanE // nanT // nanA	3369014 // 3369475 // 3370347 // 3371084 // 3372683	3369478 // 3370350 // 3371036 // 3372574 // 3373576	-	nanATEK-yhcH
soxR	soxRp	4277447	RNA polymerase sigma factor RpoD	soxR	4277469	4277933	+	soxR
uvrD	uvrDp1	3997907	RNA polymerase sigma factor RpoD	uvrD	3997983	4000145	+	uvrD // OP00099
cusRS	cusRp	595462	RNA polymerase sigma factor RpoD	cusS // cusR	593328 // 594760	594770 // 595443	-	cusRS // ylcA-ybcZ
